,Título,Ativos,CEPs,Ratings,estado_localidade
52,BPFF11,[],[],[],[]
53,BPLC11,['CONDOMÍNIO LED CORPORATE'],['01141010'],[4.6],"[{'estado': 'SP', 'localidade': 'Parque Industrial Tomas Edson'}]"
54,BPML11,"['SHOPPING ILHA PLAZA', 'SHOPPING CASA & GOURMET', 'SHOPPING LONDRINA NORTE', 'OSASCO PLAZA SHOPPING', 'SHOPPING CAPIM DOURADO', 'SHOPPING CONTAGEM', 'SHOPPING PLAZA MACAÉ']","['21920445', '22775900', '86079225', '06016060', '77001098', '32110005', '27930560']","[4.2, 4.5, 4.6, 4.2, 4.5, 4.5, 4.1]","[{'estado': 'RJ', 'localidade': 'Jardim Carioca'}, {'estado': 'RJ', 'localidade': 'Barra da Tijuca'}, {'estado': 'PR', 'localidade': 'Pacaembu'}, {'estado': 'SP', 'localidade': 'Centro'}, {'estado': 'TO', 'localidade': 'Plano Diretor Norte'}, {'estado': 'MG', 'localidade': 'Ressaca'}, {'estado': 'RJ', 'localidade': 'Granja dos Cavaleiros'}]"
55,BPRP11,['AURORA ALIMENTOS'],['07220000'],[4.6],"[{'estado': 'SP', 'localidade': 'Cidade Industrial Satélite de São Paulo'}]"
56,BRCO11,"['BRESCO CONTAGEM', 'GPA CD04', 'BRESCO ITUPEVA', 'BRF', 'HUB NATURA', 'WHIRLPOOL', 'BRESCO LAURO DE FREITAS', 'BRESCO EMBU', 'BRESCO CANOAS', 'BRESCO RESENDE', 'BRESCO OSASCO', 'NATURA MURICI']","['32183680', '05161000', '13295000', '13010', '13295000', '04183901', '42700000', '01455000', '92420040', '27540002', '06210108', '57820000']","[4.2, 4.2, 4.4, None, 4.3, 3.8, 4.2, 4.6, 4.6, 5, 4.3, 4.5]","[{'estado': 'MG', 'localidade': 'Chácaras Reunidas Santa Terezinha'}, {'estado': 'SP', 'localidade': 'Vila Jaraguá'}, {'estado': 'SP', 'localidade': ''}, {'estado': None, 'localidade': None}, {'estado': 'SP', 'localidade': ''}, {'estado': 'SP', 'localidade': 'Jardim Santa Emília'}, {'estado': 'BA', 'localidade': ''}, {'estado': 'SP', 'localidade': 'Jardim Europa'}, {'estado': 'RS', 'localidade': 'São Luis'}, {'estado': 'RJ', 'localidade': 'Parque Embaixador'}, {'estado': 'SP', 'localidade': 'Presidente Altino'}, {'estado': 'AL', 'localidade': ''}]"
57,BRCR11,"['ELDORADO BUSINESS TOWER', 'EZ TOWERS B', 'EDIFÍCIO MONTREAL', 'CEO OFFICE', 'EDIFÍCIO MAYRINK VEIGA', 'DIAMOND TOWER', 'EDIFÍCIO SENADO', 'SUCUPIRA', 'TORRE ALMIRANTE']","['05425070', '04709000', '01040000', '22775057', '01307014', '01511010', 'SP', '20031004']","[4.6, 4.9, None, 4.7, 4.5, None, None, 4.8]","[{'estado': 'SP', 'localidade': 'Pinheiros'}, {'estado': 'SP', 'localidade': 'Santo Amaro'}, {'estado': 'SP', 'localidade': 'República'}, {'estado': 'RJ', 'localidade': 'Barra da Tijuca'}, {'estado': 'SP', 'localidade': 'Consolação'}, {'estado': 'SP', 'localidade': 'Liberdade'}, {'estado': None, 'localidade': None}, {'estado': 'RJ', 'localidade': 'Centro'}]"
58,BREV11,"['EDIFICIO MYKONOS', 'EDIFÍCIO ATRIUM IV', 'EDIFÍCIO PLAZA I', 'EDIFÍCIO ATRIUM JARDINS', 'EDIFÍCIO RESULT CORPORATE PLAZA', 'EDIFÍCIO ATRIUM VIII', 'EDIFÍCIO BUENO BUSINESS TOWER', 'EDIFICIO SPAZIO CENTRALE', 'EDIFÍCIO JF 100', 'EDIFÍCIO MILLENIUM', 'EDIFÍCIO PARQUE PAULISTA']","['04204030', '04552050']","[4.4, None]","[{'estado': 'SP', 'localidade': 'Ipiranga'}, {'estado': 'SP', 'localidade': 'Vila Olímpia'}]"
59,BRFT11,[],[],[],[]
60,BRIM11,[],[],[],[]
61,BRIP11,[],[],[],[]
62,BRLA11,"['IMÓVEL - LUCAS RIO VERDE', 'IMÓVEL - VITÓRIA DA CONQUISTA', 'IMÓVEL - CUIABÁ', 'IMÓVEL - ITAJAÍ', 'IMÓVEL - VIANA', 'IMÓVEL - CONDE', 'IMÓVEL - BELO HORIZONTE', 'IMÓVEL - QUERÊNCIA']",[],[],[]
63,BROF11,"['PASSEIO CORPORATE', 'EDIFÍCIO ÁGUAS CLARAS', 'EDIFÍCIO E-TOWER']",[],[],[]
64,BRZP11,[],[],[],[]
