Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-28,TRNT11,Lajes Corporativas,"180,00",0.0,"R$ 0,3555","0,1953%","0,6054%","1,2885%","3,0812%","0,2018%","0,2147%","0,2568%","0,6054%","0,0000%","0,1953%","2,8616%","R$ 733.438.804,5300","R$ 186,3619","0,9659","0,1908%","0,2630%","0,4542%","0,9289%","28,1000%",N/A,1
2018-04-28,FVBI11,Lajes Corporativas,"106,00",0.0,"R$ 0,3778","0,3581%","1,1081%","2,2119%","4,7067%","0,3694%","0,3687%","0,3922%","0,7535%","2,9268%","3,2954%","3,7039%","R$ 201.904.471,5500","R$ 93,9091","1,1288",,,,,"12,4000%",N/A,1
2018-04-28,FCFL11,Outros,"2.159,00",62.0,"R$ 10,6817","0,4822%","1,4384%","2,8966%","6,2545%","0,4795%","0,4828%","0,5212%","1,4384%","0,2258%","0,7091%","0,0006%","R$ 261.652.426,0000","R$ 1.566,7810","1,3780","0,6818%","0,0348%","0,7168%","3,1329%","0,0000%",N/A,1
2018-04-28,THRA11,Lajes Corporativas,"115,54",1924.0,"R$ 0,4071","0,3502%","1,0933%","2,3205%","4,7763%","0,3644%","0,3868%","0,3980%","1,0933%","2,8761%","3,2364%","4,0049%","R$ 134.584.400,6600","R$ 91,3844","1,2643","0,4455%","0,4233%","0,8706%","8,3537%","0,0000%",N/A,1
2018-04-28,CEOC11,Lajes Corporativas,"92,00",1190.0,"R$ 0,5891","0,6566%","1,8322%","3,5650%","3,7768%","0,6107%","0,5942%","0,3147%","1,8322%","-0,5211%","0,1321%","1,5379%","R$ 150.522.189,4800","R$ 82,9005","1,1098","0,7107%","-1,2047%","-0,5027%","4,4977%","0,0000%",N/A,1
2018-04-28,GGRC11,Logística,"134,30",23230.0,"R$ 0,7600","0,5752%","1,6755%","3,6980%","0,0000%","0,5585%","0,6163%","0,0000%","1,6755%","2,2680%","2,8563%","1,2405%","R$ 440.331.323,8100","R$ 114,4839","1,1731","0,6638%","1,2033%","1,8751%","5,5573%","0,0000%","0,0000%",7
2018-04-28,OUJP11,,"103,50",1029.0,"R$ 0,6667","0,6380%","1,9768%","4,1324%","8,0869%","0,6589%","0,6887%","0,6739%","1,9768%","1,4662%","2,1135%","0,3572%","R$ 73.059.385,6300","R$ 101,4714","1,0200","0,6570%","0,0451%","0,7024%","2,1037%",N/A,N/A,0
2018-04-28,HCRI11,Hospital,"362,00",0.0,"R$ 2,2751","0,6182%","1,9834%","3,8701%","8,3203%","0,6611%","0,6450%","0,6934%","1,9834%","5,5925%","6,2454%","14,6767%","R$ 62.908.591,5800","R$ 314,5430","1,1509","0,7233%","-0,0053%","0,7180%","2,1949%","0,0000%",N/A,1
2018-04-28,RBRF11,Títulos e Val. Mob.,"101,74",3178.0,"R$ 0,8000","0,8000%","2,1437%","3,0951%","0,0000%","0,7146%","0,5158%","0,0000%","2,1437%","3,0928%","3,9175%","5,8642%","R$ 82.640.923,9000","R$ 102,0268","0,9972","0,7841%","3,3357%","4,1460%","5,1404%",N/A,N/A,0
2018-04-28,VISC11,Shoppings,"113,00",16572.0,"R$ 0,6100","0,5679%","1,6694%","0,0000%","0,0000%","0,5565%","0,0000%","0,0000%","1,6694%","-3,6592%","-3,1121%","-0,7242%","R$ 314.685.528,4400","R$ 97,8794","1,1545","0,6232%","-0,2966%","0,3248%","1,3109%","4,9000%",N/A,7
2018-04-28,XPML11,Shoppings,"100,81",0.0,"R$ 0,5028","0,4953%","1,4634%","0,0000%","0,0000%","0,4878%","0,0000%","0,0000%","1,4634%","-2,1586%","-1,6740%","-1,2906%","R$ 245.896.809,4800","R$ 96,6506","1,0430","0,5203%","0,8899%","1,4148%","2,4325%","3,7000%",N/A,3
2018-04-28,BCFF11,Títulos e Val. Mob.,"89,71",0.0,"R$ 0,4950","0,5506%","1,7457%","3,6572%","7,9582%","0,5819%","0,6095%","0,6632%","1,7457%","7,4322%","8,0237%","11,5716%","R$ 537.339.249,7100","R$ 90,3188","0,9933","0,5481%","0,6871%","1,2389%","2,4198%",N/A,N/A,0
