Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-06-01,VGIA11,Títulos e Val. Mob.,"R$ 10,07",332224.0,"R$ 0,15","1,35%","4,14%","0,00%","0,00%","1,38%","0,00%","0,00%","6,70%","3,53%","4,93%","12,33%","R$ 95.747.517,22","R$ 9,51","1,06","1,58%","0,07%","1,65%","3,04%",N/A,N/A,0
2022-06-01,VGIR11,Títulos e Val. Mob.,"R$ 98,30",19524.0,"R$ 1,30","1,31%","3,69%","6,88%","11,17%","1,23%","1,15%","0,93%","5,96%","-0,97%","0,33%","3,37%","R$ 729.972.953,61","R$ 96,42","1,02","1,35%","-0,19%","1,15%","4,42%",N/A,N/A,0
2022-06-01,MGHT11,Hotel,"R$ 71,00",238.0,"R$ 0,80","1,20%","3,18%","5,92%","10,37%","1,06%","0,99%","0,86%","5,03%","-15,97%","-14,96%","-20,63%","R$ 129.777.732,57","R$ 98,78","0,72","0,81%","0,18%","0,99%","1,81%",N/A,N/A,0
2022-06-01,MCHF11,Títulos e Val. Mob.,"R$ 9,45",95818.0,"R$ 0,11","1,15%","3,35%","6,70%","0,00%","1,12%","1,12%","0,00%","5,51%","-3,52%","-2,42%","-0,20%","R$ 315.930.781,84","R$ 9,78","0,97","1,12%","-4,38%","-3,30%","-2,26%",N/A,N/A,0
2022-06-01,TRNT11,Lajes Corporativas,"R$ 113,00",9.0,"R$ 0,40","0,34%","1,10%","2,35%","4,27%","0,37%","0,39%","0,36%","1,80%","8,35%","8,72%","10,47%","R$ 796.806.635,95","R$ 202,46","0,56","0,19%","0,01%","0,20%","0,39%","49,90%",N/A,1
2022-06-01,MCCI11,Títulos e Val. Mob.,"R$ 96,90",22626.0,"R$ 1,10","1,12%","3,11%","6,06%","11,95%","1,04%","1,01%","1,00%","5,09%","-1,59%","-0,49%","2,11%","R$ 1.210.958.902,24","R$ 97,52","0,99","1,03%","0,73%","1,76%","2,81%",N/A,N/A,0
2022-06-01,CPTS11,Títulos e Val. Mob.,"R$ 91,53",95691.0,"R$ 1,12","1,19%","3,49%","6,89%","12,95%","1,16%","1,15%","1,08%","5,76%","0,35%","1,54%","2,61%","R$ 2.612.266.966,14","R$ 93,39","0,98","1,18%","-0,58%","0,59%","1,77%",N/A,N/A,0
2022-06-01,BRLA11,Híbrido,"R$ 150,00",20300.0,"R$ 1,06","0,70%","2,17%","4,19%","5,50%","0,72%","0,70%","0,46%","3,49%","3,45%","4,18%","3,54%","R$ 285.260.278,84","R$ 159,29","0,94","0,66%","-0,38%","0,28%","0,89%",N/A,N/A,0
2022-06-01,GCFF11,Títulos e Val. Mob.,"R$ 72,20",398.0,"R$ 0,77","1,04%","3,09%","6,07%","11,25%","1,03%","1,01%","0,94%","5,03%","1,23%","2,28%","-3,36%","R$ 30.096.700,62","R$ 88,89","0,81","0,88%","-2,44%","-1,58%","-0,77%",N/A,N/A,0
2022-06-01,GCRI11,Títulos e Val. Mob.,"R$ 97,96",946.0,"R$ 1,55","1,56%","4,55%","8,58%","14,82%","1,52%","1,43%","1,24%","7,19%","-0,39%","1,16%","8,48%","R$ 98.377.736,44","R$ 98,35","1,00","1,50%","-1,03%","0,46%","1,67%",N/A,N/A,0
2022-06-01,MORE11,Títulos e Val. Mob.,"R$ 65,14",5603.0,"R$ 0,70","1,05%","3,06%","5,83%","10,80%","1,02%","0,97%","0,90%","4,92%","-1,31%","-0,28%","-7,97%","R$ 202.952.841,10","R$ 87,51","0,74","0,80%","-2,21%","-1,43%","-0,66%",N/A,N/A,0
2022-06-01,BLCP11,Outros,"R$ 90,99",12059.0,"R$ 0,50","0,57%","1,75%","3,62%","6,70%","0,58%","0,60%","0,56%","3,00%","1,49%","2,07%","12,41%","R$ 225.875.176,13","R$ 98,37","0,93","0,52%","-0,01%","0,51%","1,03%","6,20%",N/A,2
