Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-08-01,CPTS11B,"99,79",0.0,"R$ 0,8500","0,8706%","2,3882%","5,5382%","0,0000%","0,7961%","0,9230%","0,0000%","-0,5685%","0,2972%","4,1984%","R$ 101.241.108,6500","R$ 101,2411","0,9857","0,8396%","1,2868%","2,1372%","7,7941%",N/A,N/A,0
2017-08-01,CBOP11,"722,00",161.0,"R$ 4,9000","0,6887%","2,0585%","4,0907%","8,6993%","0,6862%","0,6818%","0,7249%","-0,4496%","0,2360%","10,0848%","R$ 103.785.343,9900","R$ 733,4653","0,9844","0,6681%","-0,0130%","0,6550%","4,6949%","10,4000%",N/A,1
2017-08-01,ATSA11B,"1.179,50",83.0,"R$ 1,5000","0,1304%","1,2276%","1,4225%","1,4225%","0,4092%","0,2371%","0,1185%","2,4398%","2,5734%","14,0632%","R$ 229.984.448,1600","R$ 1.340,8608","0,8797","0,1119%","0,1377%","0,2497%","1,5252%","24,1000%",N/A,1
2017-08-01,HGBS11,"2.200,00",645.0,"R$ 12,4000","0,5842%","1,7420%","3,4972%","7,6981%","0,5807%","0,5829%","0,6415%","-1,5937%","-1,0188%","8,1039%","R$ 1.169.878.035,3400","R$ 2.176,5497","1,0108","0,5697%","0,4950%","1,0676%","6,2961%","6,6400%",N/A,8
2017-08-01,GRLV11,"1.025,02",298.0,"R$ 7,1000","0,7167%","2,1546%","4,3205%","8,7253%","0,7182%","0,7201%","0,7271%","1,5668%","2,2947%","14,5698%","R$ 118.859.213,4400","R$ 1.107,1811","0,9258","0,6413%","-0,0072%","0,6340%","4,8103%","7,0000%",N/A,1
2017-08-01,HGJH11,"1.300,00",182.0,"R$ 7,5000","0,5854%","1,7530%","3,5654%","7,2650%","0,5843%","0,5942%","0,6054%","-0,3928%","0,1902%","15,7543%","R$ 170.827.228,7500","R$ 1.035,3165","1,2557","0,7244%","-0,0078%","0,7166%","5,1634%","7,7000%",N/A,2
2017-08-01,HGLG11,"1.260,00",479.0,"R$ 8,7000","0,7002%","2,0976%","4,1941%","8,7836%","0,6992%","0,6990%","0,7320%","0,3082%","1,0106%","15,6991%","R$ 376.244.205,3900","R$ 1.106,2752","1,1390","0,7864%","-0,3737%","0,4098%","5,7260%","22,4000%","18,9000%",8
2017-08-01,HGRE11,"1.462,00",748.0,"R$ 9,4000","0,6530%","1,9754%","4,0855%","8,8162%","0,6585%","0,6809%","0,7347%","-1,7059%","-1,0641%","17,3009%","R$ 1.094.521.383,1600","R$ 1.482,4686","0,9862","0,6341%","-0,1430%","0,4901%","4,7188%","19,5000%","21,3000%",20
2017-08-01,HGCR11,"1.065,99",54.0,"R$ 8,0000","0,7565%","2,4937%","5,0805%","10,9169%","0,8312%","0,8467%","0,9097%","1,5393%","2,3075%","11,4214%","R$ 106.658.448,6300","R$ 1.018,6178","1,0465","0,7854%","-0,2352%","0,5483%","5,9644%",N/A,N/A,0
2017-08-01,DOMC11,"451,00",41.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-3,4991%","-3,4991%","-17,9295%","R$ 160.612.446,6500","R$ 917,7854","0,4914","0,0000%","0,3137%","0,3137%","-1,5195%",N/A,N/A,0
2017-08-01,FIXX11,"86,80",140.0,"R$ 0,5800","0,6510%","1,8891%","3,9310%","9,3135%","0,6297%","0,6552%","0,7761%","-0,1725%","0,4774%","4,3775%","R$ 31.724.401,1900","R$ 86,6853","1,0013","0,6691%","-0,5643%","0,1011%","7,8026%",N/A,N/A,0
2017-08-01,VRTA11,"113,20",3318.0,"R$ 0,8100","0,7140%","2,4215%","4,9385%","11,1850%","0,8072%","0,8231%","0,9321%","-1,0355%","-0,3289%","-1,0551%","R$ 233.628.402,9900","R$ 104,2147","1,0862","0,7772%","1,9813%","2,7740%","8,7627%",N/A,N/A,0
2017-08-01,BRCR11,"92,01",31616.0,"R$ 0,3467","0,3736%","1,3456%","3,4163%","8,4534%","0,4485%","0,5694%","0,7045%","-10,0558%","-9,7197%","-0,1631%","R$ 2.067.131.129,1700","R$ 107,5257","0,8557",,,,,"31,8000%","28,5000%",10
2017-08-01,BCFF11B,"70,05",7292.0,"R$ 0,5000","0,7143%","2,1315%","4,4031%","9,0747%","0,7105%","0,7338%","0,7562%","-0,3395%","0,3724%","5,0735%","R$ 502.010.423,4500","R$ 84,3806","0,8302","6,0126%","-1,5619%","4,3568%","3,9275%",N/A,N/A,0
2017-08-01,THRA11B,"102,98",1273.0,"R$ 0,3733","0,3785%","0,3785%","0,3785%","0,3785%","0,1262%","0,0631%","0,0315%","5,3954%","5,7943%","20,8484%","R$ 134.703.929,8800","R$ 91,4656","1,1259","0,4081%","-1,2299%","-0,8268%","0,5843%","0,0000%",N/A,1
2017-08-01,FAMB11B,"4.290,00",27.0,"R$ 32,6113","0,6585%","2,3159%","4,4294%","8,6770%","0,7720%","0,7382%","0,7231%","-0,0546%","0,6035%","-0,0802%","R$ 576.172.273,9100","R$ 5.497,8270","0,7803","0,5932%","0,1144%","0,7082%","4,8634%","0,0000%",N/A,1
2017-08-01,PQDP11,"2.940,00",54.0,"R$ 14,0999","0,5520%","1,5900%","3,2562%","7,2416%","0,5300%","0,5427%","0,6035%","-2,7416%","-2,2046%","28,4043%","R$ 624.152.904,6200","R$ 2.617,2457","1,1233",,,,,"1,6000%",N/A,1
2017-08-01,PRSV11,"436,00",60.0,"R$ 1,7500","0,3646%","1,0022%","2,0658%","4,9363%","0,3341%","0,3443%","0,4114%","-2,4805%","-2,1250%","0,9509%","R$ 126.162.978,5800","R$ 646,9896","0,6739","0,2705%","0,4639%","0,7356%","1,8710%",N/A,N/A,2
2017-08-01,WPLZ11B,"75,00",181.0,"R$ 0,1095","0,1392%","0,3759%","1,1772%","3,1032%","0,1253%","0,1962%","0,2586%","2,7939%","2,9370%","6,4321%","R$ 79.296.422,6000","R$ 80,1509","0,9357",,,,,"9,7000%",N/A,1
2017-08-01,TBOF11,"68,80",4060.0,"R$ 0,1603","0,2330%","0,9757%","2,0954%","4,4056%","0,3252%","0,3492%","0,3671%","-2,5496%","-2,3225%","10,3213%","R$ 638.979.952,9700","R$ 63,5801","1,0821","0,2521%","0,0192%","0,2714%","3,4285%","43,9000%",N/A,1
