Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-02-01,BBVJ11,"59,56",952.0,"R$ 0,4000","0,6656%","0,7660%","1,4363%","4,1236%","0,2553%","0,2394%","0,3436%","4,1236%","4,3403%","5,0347%","14,7892%","R$ 162.907.378,3100","R$ 60,1134","0,9908","0,6654%","-21,5542%","-21,0322%","-18,5295%","49,2900%",N/A,1
2018-02-01,BMLC11B,"86,50",387.0,"R$ 0,6035","0,7217%","2,0107%","3,7642%","6,9734%","0,6702%","0,6274%","0,5811%","6,9734%","-0,2743%","0,4454%","4,1208%","R$ 84.301.782,0600","R$ 84,4365","1,0244","0,7147%","-18,9497%","-18,3704%","-13,8810%","15,6000%",N/A,2
2018-02-01,BPFF11,"100,07",2106.0,"R$ 0,6700","0,6624%","2,0874%","4,1817%","8,5695%","0,6958%","0,6970%","0,7141%","0,6624%","0,0000%","0,6624%","0,6624%","R$ 192.972.938,7200","R$ 96,4865","1,0371","0,7462%","0,8514%","1,6040%","18,9113%",N/A,N/A,0
2018-02-01,CXCE11B,"2.385,00",9.0,"R$ 17,8254","0,7306%","2,2162%","4,4427%","9,1389%","0,7387%","0,7404%","0,7616%","0,7306%","0,0000%","0,7306%","0,7306%","R$ 157.522.939,4600","R$ 2.299,0008","1,0374","0,7774%","1,5467%","2,3360%","12,1948%",N/A,N/A,1
2018-02-01,CXTL11,"572,00",23.0,"R$ 0,5589","0,0977%","0,3943%","1,4048%","5,4753%","0,1314%","0,2341%","0,4563%","0,0977%","0,0000%","0,0977%","0,0977%","R$ 51.845.561,0100","R$ 967,3221","0,5913","0,1202%","-2,9857%","-2,8691%","1,0112%",N/A,N/A,4
2018-02-01,CTXT11,"4,35",18262.0,"R$ 0,0154","0,3426%","1,8152%","4,0355%","8,8438%","0,6051%","0,6726%","0,7370%","0,3426%","0,0000%","0,3426%","0,3426%","R$ 123.922.563,2700","R$ 3,4120","1,2749","1,0087%","-0,8277%","0,1726%","14,0055%","5,2000%",N/A,1
2018-02-01,FLMA11,"2,58",12186.0,"R$ 0,0122","0,4373%","1,2979%","2,7573%","5,9750%","0,4326%","0,4596%","0,4979%","5,9750%","6,4885%","6,9542%","32,2743%","R$ 183.368.874,8600","R$ 2,6562","0,9713","0,4593%","-0,0420%","0,4171%","5,3065%",N/A,N/A,1
2018-02-01,EDFO11B,"279,00",60.0,"R$ 1,7594","0,6283%","1,8331%","3,7510%","7,6044%","0,6110%","0,6252%","0,6337%","0,6283%","0,0000%","0,6283%","0,6283%","R$ 42.044.108,3700","R$ 178,1530","1,5661","0,9466%","11,2263%","12,2791%","27,2869%",N/A,N/A,1
2018-02-01,EURO11,"193,20",168.0,"R$ 1,0000","0,5000%","1,7660%","3,2638%","5,4940%","0,5887%","0,5440%","0,4578%","0,5000%","0,0000%","0,5000%","0,5000%","R$ 118.780.133,4000","R$ 309,3748","0,6245","0,4040%","-1,6357%","-1,2383%","-3,4424%","11,8200%",N/A,6
2018-02-01,FIGS11,"93,86",7613.0,"R$ 0,8333","0,8726%","2,6758%","5,6207%","12,7868%","0,8919%","0,9368%","1,0656%","0,8726%","0,0000%","0,8726%","0,8726%","R$ 228.360.776,8100","R$ 88,1192","1,0651","0,9457%","0,1023%","1,0489%","10,7366%",N/A,N/A,2
2018-02-01,ABCP11,"16,80",30252.0,"R$ 0,1200","0,7071%","1,6957%","3,1249%","6,0779%","0,5652%","0,5208%","0,5065%","0,7071%","0,0000%","0,7071%","0,7071%","R$ 783.263.400,0500","R$ 12,8364","1,3088","0,6232%","14,6686%","15,3833%","24,7162%","1,0000%",N/A,1
