Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-02-11,DRIT11B,Lajes Corporativas,"161,00",13.0,"R$ 0,6700","0,4161%","1,5105%","3,2467%","8,0757%","0,5035%","0,5411%","0,6730%","0,4161%","0,0000%","0,4161%","0,4161%","R$ 57.875.054,67","R$ 124,93","1,2888","0,6724%","0,0407%","0,7134%","8,9932%","7,60%",N/A,4
2019-02-11,PLRI11,Títulos e Val. Mob.,"66,30",256.0,"R$ 0,2726","0,3809%","1,1510%","3,8137%","7,9910%","0,3837%","0,6356%","0,6659%","0,3809%","0,0000%","0,3809%","0,3809%","R$ 76.677.652,79","R$ 80,35","0,8251","0,3465%","-1,0210%","-0,6779%","-10,6135%",N/A,N/A,0
2019-02-11,PORD11,Títulos e Val. Mob.,"97,02",370.0,"R$ 5,0000","4,9087%","4,9087%","4,9087%","8,0854%","1,6362%","0,8181%","0,6738%","4,9087%","1,4542%","6,4343%","6,8600%","R$ 102.787.108,55","R$ 102,79","0,9439",N/A,N/A,N/A,N/A,N/A,N/A,0
2019-02-11,RBDS11,Residencial,"234,08",78.0,"R$ 9,4495","3,5793%","6,1565%","12,7125%","23,2482%","2,0522%","2,1188%","1,9373%","3,5793%","0,0000%","3,5793%","3,5793%","R$ 29.526.702,28","R$ 233,37","1,0030","0,0503%","-12,6002%","-12,5563%","-48,2527%",N/A,N/A,0
2019-02-11,RBGS11,Shoppings,"43,29",1035.0,"R$ 0,1838","0,4235%","0,9877%","1,8987%","4,2242%","0,3292%","0,3165%","0,3520%","0,4235%","0,0000%","0,4235%","0,4235%","R$ 99.974.706,71","R$ 92,74","0,4668","0,1531%","-6,6985%","-6,5556%","-4,5649%","12,40%",N/A,1
2019-02-11,FIIP11B,Logística,"183,00",740.0,"R$ 3,7743","1,9559%","3,1635%","5,1861%","9,0742%","1,0545%","0,8643%","0,7562%","1,9559%","0,0000%","1,9559%","1,9559%","R$ 176.970.718,11","R$ 190,87","0,9587","0,6551%","0,1741%","0,8304%","17,0764%",N/A,N/A,7
2019-02-11,RBRD11,Híbrido,"87,15",974.0,"R$ 0,5142","0,5763%","1,7330%","6,6501%","10,2582%","0,5777%","1,1083%","0,8549%","0,5763%","0,0000%","0,5763%","0,5763%","R$ 142.791.897,98","R$ 77,11","1,1302","0,6718%","3,6368%","4,3330%","16,7146%","0,00%",N/A,4
2019-02-11,RDES11,Lajes Corporativas,"73,75",312.0,"R$ 0,3242","0,4382%","1,2105%","1,9666%","4,1671%","0,4035%","0,3278%","0,3473%","0,4382%","0,0000%","0,4382%","0,4382%","R$ 61.460.913,82","R$ 82,83","0,8904","0,3165%","-8,3406%","-8,0504%","-5,2629%","50,53%",N/A,4
2019-02-11,RBCB11,Outros,"204,00",115.0,"R$ 3,7200","1,8058%","5,3619%","10,2185%","15,6279%","1,7873%","1,7031%","1,3023%","1,8058%","0,0000%","1,8058%","1,8058%","R$ 3.892.506,40","R$ 73,31","2,7829","5,5248%","-17,3695%","-12,8043%","-57,0783%",N/A,N/A,0
2019-02-11,RBVO11,Outros,"47,50",1313.0,"R$ 0,2000","0,4086%","3,2245%","5,8205%","8,9040%","1,0748%","0,9701%","0,7420%","0,4086%","0,0000%","0,4086%","0,4086%","R$ 24.938.331,77","R$ 48,35","0,9825","1,6547%","-17,8928%","-16,5342%","-10,4152%",N/A,N/A,0
